band,ss,site_name,island,year,zone,utm_e,utm_n,sex,age,mass,wing,tarsus,primext,billd,billw,billl,bill_sa,bodsize,billsc,maxt,veg1,veg2
2661-31945,246,ro19,RO,2014,10,772275,3766549,M,SY,24.5,61.14,18.69,5.6,6.66,5.5,9.79,93.49882392,1.946009414,11.28843003,22.4,-0.087344338,-0.90136245
2661-31946,247,ro96,RO,2014,10,772542,3766226,M,ASY,21.7,60.95,19.46,5.11,5.78,4.8,9.67,80.35298654,0.349937523,0.001211841,22.4,-0.077829755,-0.731806583
2661-31947,248,cz133,CZ,2014,11,241767,3767439,M,ASY,20.3,61.64,19.27,5.22,7.23,5.59,9.48,95.45226623,-0.161894629,15.69651798,23.6,-0.890664399,2.233619888
2661-31948,249,cz132,CZ,2014,11,241866,3767330,M,ASY,20.5,59.46,19.42,5.99,5.96,5.11,9.11,79.20559836,-0.8476455,0.248404194,23.6,0.026056809,-0.309527454
2661-31949,250,cz132,CZ,2014,11,241866,3767330,M,ASY,21.1,62.07,20.04,6.73,5.96,4.59,9.13,75.6507292,0.431107891,-4.795568061,23.6,0.026056809,-0.309527454
2661-31950,251,cz131,CZ,2014,11,241780,3767465,M,ASY,21.5,58.82,19.47,6.2,6.43,5.67,9.04,85.90999271,-0.535698041,6.589537003,23.6,-1.17343108,2.187137242
2661-31951,252,cz134,CZ,2014,11,241926,3767342,M,ASY,19.6,60.66,18.4,5.73,6.23,4.87,10.23,89.18431765,-0.900893542,10.28913061,23.6,0.768150741,1.064599312
2661-31953,254,cz96,CZ,2014,11,239714,3767676,M,ASY,19.5,60.2,18.71,5.89,6.45,5.7,8.69,82.92508699,-1.123133877,4.288697912,22.9,1.264774168,1.160342824
2661-31954,255,cz97,CZ,2014,11,239971,3767553,M,SY,21.7,59.59,19.7,4.37,6.45,5.17,9.1,83.04957259,-0.145905993,3.275205637,23.4,-0.008017772,-0.167886142
2661-31955,256,cz97,CZ,2014,11,239971,3767553,M,ASY,20.4,59.87,19.68,6.05,6.12,4.6,8.4,70.72353382,-0.752691822,-8.344233516,23.4,-0.008017772,-0.167886142
2661-31956,257,cz98,CZ,2014,11,239611,3767713,M,ASY,22.3,58.46,19.57,5.58,6.6,6.02,8.89,88.11523367,-0.230722269,8.439634924,22.9,2.251771749,0.209939121
2661-31957,258,cz99,CZ,2014,11,239756,3767661,M,SY,21.5,59.46,20,5.47,6.28,5.12,9.28,83.0888425,-0.302359916,3.496665501,22.9,1.445847564,0.655464118
2661-31958,259,cz99,CZ,2014,11,239756,3767661,M,ASY,21.1,61.48,19.53,6.53,6.19,5.16,9.37,83.52670198,0.215999307,3.330897785,22.9,1.445847564,0.655464118
2661-31960,262,cz44,CZ,2014,11,248326,3765042,F,ASY,20.4,57.24,18.77,6.22,6.54,5.53,8.77,83.13745865,-1.71156568,5.186296,23,-0.329989124,1.739137311
2661-31962,264,cz62,CZ,2014,11,248376,3765103,M,ASY,22.8,62.51,20.03,6.51,6.49,5.28,9.01,83.28966881,1.518513345,1.577092345,23,-0.769437729,1.8515574
2661-31963,265,cz62,CZ,2014,11,248376,3765103,F,ASY,18.5,56.91,18.61,6.8,6.34,5.22,9.23,83.80104156,-2.86792326,7.196452583,23,-0.769437729,1.8515574
2661-31964,266,cz135,CZ,2014,11,241641,3767513,M,ASY,19.9,61.94,18.19,6.64,6.16,5.46,9.02,82.31946646,-0.270631616,2.690341986,23.6,-1.052204411,1.805074753
2661-31965,267,cz136,CZ,2014,11,241455,3767663,M,SY,20.6,59.93,18.88,6.82,5.8,4.79,8.9,74.0245623,-0.621759256,-5.195675474,23.5,-0.364042727,0.629650604
2661-31966,268,cz136,CZ,2014,11,241455,3767663,M,ASY,19.7,62.22,18.08,6.08,6.18,5.34,9.64,87.22066516,-0.277603304,7.599659187,23.5,-0.364042727,0.629650604
2661-31969,271,cz9,CZ,2014,11,253352,3765392,M,ASY,19.3,61.28,18.3,8.08,5.96,5.23,9.66,84.89792863,-0.838432908,5.930006438,23.7,-0.052836344,1.707301437
2661-31970,272,cz117,CZ,2014,11,254743,3765713,F,SY,20.2,58.2,20.43,4.87,5.85,4.73,9.46,78.6079889,-1.470615609,0.376240878,23.9,-0.270868807,0.256776787
2661-31971,273,cz117,CZ,2014,11,254743,3765713,M,SY,18.5,57.54,18.96,5.73,6.02,5.03,9.2,79.84357729,-2.638231044,2.971512666,23.9,-0.270868807,0.256776787
2661-31972,274,cz118,CZ,2014,11,254884,3765758,M,SY,19,62.39,18.59,8.02,6.44,5.28,9.22,84.8688689,-0.597322773,5.620174941,23.9,-0.662227505,1.665530403
2661-31973,275,cz10,CZ,2014,11,254977,3765824,M,SY,20.8,61.88,20.13,7.72,6.04,5.15,10.39,91.31361061,0.19824996,11.13847546,23.9,-0.253041803,1.052059995
2661-31974,276,cz10,CZ,2014,11,254977,3765824,M,SY,19.9,61.33,20.01,4.63,6.1,5.02,9.36,81.74675412,-0.493032017,2.376614002,23.9,-0.253041803,1.052059995
2661-31975,277,cz11,CZ,2014,11,254863,3765725,M,SY,21.2,60.11,18.92,4.71,6.4,5.26,9.85,90.20376446,-0.228961558,10.52611537,23.9,-0.380758483,1.94979113
2661-31976,278,cz12,CZ,2014,11,254804,3765771,M,SY,20.6,61.9,19.24,6.59,6.18,5.42,9.12,83.0888425,0.09648466,3.032212623,23.9,-0.335603026,1.660818791
2661-31978,281,cz26,CZ,2014,11,248717,3764922,M,ASY,21.7,61.1,19.86,5.49,6.07,4.91,9.76,84.1670371,0.404626146,3.751577723,23,-0.086012604,2.049267429
2661-31980,283,mi9,MI,2014,10,745292,3769513,F,SY,20.2,59.88,18.62,5.71,6.22,5.79,8.66,81.68659262,-0.858103031,2.741576205,21.4,1.923150711,-0.893599897
2661-31981,284,mi9,MI,2014,10,745292,3769513,M,SY,20.4,60.25,19.46,6.99,5.94,4.4,9.04,73.41399377,-0.614147311,-5.815108083,21.4,1.923150711,-0.893599897
2661-31982,285,mi5,MI,2014,10,745360,3769465,M,ASY,20.9,60.46,20.07,5.13,5.6,5.01,9.19,76.58095478,-0.264940446,-3.054797039,21.4,0.283406118,-1.133814237
2661-31983,286,mi8,MI,2014,10,745207,3769630,F,SY,18.4,56.29,18.11,5.92,5.82,4.89,8.81,74.10632225,-3.148498127,-2.171538442,21.4,0.43096166,-0.238803837
