band,ss,site_name,island,year,zone,utm_e,utm_n,sex,age,mass,wing,tarsus,primext,billd,billw,billl,bill_sa,bodsize,billsc,maxt,veg1,veg2
2661-31775,59,cz151,CZ,2014,11,253582,3763747,M,SY,17.7,63.42,19.44,7.68,6.37,5.03,8.53,76.37368821,-0.930665487,-2.486829521,23.1,-0.56274226,1.991130196
2661-31776,60,cz152,CZ,2014,11,253478,3763827,M,ASY,20.5,57.92,19.51,6.91,6.26,5.24,9.24,83.45640884,-1.409115364,5.153044033,23.1,-0.229014592,0.029516589
2661-31780,64,cz155,CZ,2014,11,253590,3763713,M,ASY,19.4,60.93,19.9,7.17,6.46,5.1,9.17,83.25628939,-0.911511137,4.373466496,23.1,-0.342030345,1.934667499
2661-31782,66,cz159,CZ,2014,11,253555,3763723,M,ASY,19.2,60.47,18.74,7.78,6.55,4.88,9.05,81.24276412,-1.188280031,2.682237472,23.1,0.432917148,1.009491884
2661-31783,67,cz157,CZ,2014,11,253122,3763957,M,ASY,19.7,59.63,19.01,5.79,6.22,5.01,8.7,76.73418596,-1.221893528,-1.787197909,23.1,-0.669952484,2.177157192
2661-31784,68,cz158,CZ,2014,11,253108,3763955,M,ASY,20.9,58,19.47,7.16,6.13,5.2,8.6,76.52762625,-1.161833864,-2.063696851,23.1,-0.669952484,2.177157192
2661-31760,70,cz40,CZ,2014,11,248219,3765101,M,ASY,23.9,59.25,19.62,6.1,6.83,5.37,9.25,88.63218274,0.929761413,7.605205492,23,0.051550048,2.084034638
2661-31761,71,cz40,CZ,2014,11,248219,3765101,F,SY,19.9,55.4,20.31,7.45,6.06,4.96,8.77,75.90511966,-2.655055581,-0.947352859,23,0.051550048,2.084034638
2661-31762,72,cz42,CZ,2014,11,248262,3765096,M,SY,22.4,57.91,19.26,6.15,6.37,4.76,8.55,74.73966733,-0.376718662,-4.765919214,23,-0.086012604,2.049267429
2661-31763,73,cz41,CZ,2014,11,248203,3765120,M,SY,19.5,61.38,19.58,7.85,5.98,4.8,9.6,81.27928513,-0.692916709,2.141909919,23,-1.052204411,1.805074753
2661-31764,74,cz63,CZ,2014,11,249683,3764819,M,SY,23.2,59.1,19.04,6.17,6.17,5.28,9.31,83.72305152,0.493372881,3.204246932,23,-0.623647597,1.591767728
2661-31765,75,cz64,CZ,2014,11,249569,3764844,M,SY,21.7,62.41,19.75,4.05,5.96,5.41,9.13,81.53069109,0.88224012,0.559052193,23,-0.669952484,2.177157192
2661-31766,76,cz65,CZ,2014,11,249516,3764862,M,SY,22.1,62.04,20.31,5.99,5.88,5.15,8.69,75.28096374,0.965455751,-5.787579418,23,-0.952719165,2.130674545
2661-31767,77,cz31,CZ,2014,11,249594,3764747,M,SY,20.3,58.76,19.45,5.91,6.14,5.39,8.74,79.1463008,-1.211916191,0.613298364,23,-1.17343108,2.187137242
2661-31768,78,cz32,CZ,2014,11,249601,3764667,M,SY,23.5,59.94,19.95,6.51,6.5,5.08,9.15,83.2184332,0.963214846,2.152499566,23,-0.952719165,2.130674545
2661-31769,79,cz33,CZ,2014,11,249632,3764985,M,ASY,21.2,60.89,19.6,6.59,6.38,5,8.92,79.72545341,0.055419282,-0.283356002,23,-0.952719165,2.130674545
2661-31770,80,cz33,CZ,2014,11,249632,3764985,F,ASY,18.8,57.91,19.52,5.33,6.21,5.26,9.89,89.09423248,-2.339746765,11.87458413,23,-0.952719165,2.130674545
2661-31771,81,cz28,CZ,2014,11,249508,3765120,M,SY,20.4,58.58,19.77,6.34,5.93,4.92,9.24,78.73930747,-1.223013981,0.219228364,23,-0.952719165,2.130674545
2661-31773,83,cz30,CZ,2014,11,249423,3765057,M,ASY,20.1,60.7,18.93,6.9,6.24,4.88,9.36,81.74675412,-0.613667117,2.517093083,23,0.321262062,1.547706155
2661-31786,85,cz149,CZ,2014,11,252725,3764235,M,ASY,23,61.02,20.33,6.41,6.38,5.11,9.35,84.37650279,1.08433014,3.169530892,23.1,0.599113259,0.01533023
2661-31787,86,cz141,CZ,2014,11,252165,3764348,M,SY,19.5,60.16,19.35,7.63,6.3,5.12,8.28,74.26536538,-1.13771751,-4.354041117,23.1,1.064695477,1.097890805
2661-31788,87,cz142,CZ,2014,11,252105,3764302,M,ASY,22.3,61.95,19.47,7.63,5.91,4.93,8.94,76.11262186,1.041699694,-5.044707058,23.4,-0.342030345,1.934667499
2661-31789,88,cz130,CZ,2014,11,249705,3761962,M,ASY,21.2,61.16,19.65,6.2,6.51,4.77,9.28,82.21422311,0.153858803,2.090781278,22.9,0.359870113,0.782991762
2661-31791,90,cz144,CZ,2014,11,251379,3764513,M,SY,20.7,59.37,20.59,6.97,6.4,5.61,9.17,86.49723491,-0.771401557,7.451254984,23.4,-0.33471889,2.23226462
2661-31792,91,cz145,CZ,2014,11,251391,3764457,M,ASY,20.8,59.68,19.62,5.86,6.31,5.44,9.13,84.25555147,-0.603849845,5.01445826,23.4,-0.769437729,1.8515574
2661-31793,92,cz146,CZ,2014,11,250900,3764608,M,SY,21.7,62.76,19.09,7.54,6.24,5.55,9.11,84.357182,1.009846908,3.236945521,23.4,-0.288414004,1.646875156
2661-31794,93,cz147,CZ,2014,11,250735,3764604,M,ASY,22.4,59.9,19.82,6.31,6.29,5.75,9.83,92.95438591,0.34881707,12.60391597,23.4,0.301789205,1.827536231
2661-31796,95,cz148,CZ,2014,11,250630,3764579,M,SY,20.7,61,19.51,6.09,5.94,5.13,9.31,80.9444699,-0.17711852,1.206449807,23.4,-0.288414004,1.646875156
2661-31601,100,cz25,CZ,2014,11,250288,3764725,M,ASY,21.1,60.56,19.28,4.99,6.18,5.21,9.04,80.86899313,-0.119424248,1.063788293,23.1,-0.952719165,2.130674545
2661-31602,101,cz25,CZ,2014,11,250288,3764725,M,SY,20,58.36,17.97,6.9,6.22,5.13,8.47,75.50385974,-1.521338195,-2.668822039,23.1,-0.952719165,2.130674545
2661-31603,102,cz25,CZ,2014,11,250288,3764725,M,ASY,19.6,60,18.63,6.38,6.14,5.18,9.5,84.46171849,-1.141523483,5.846744033,23.1,-0.952719165,2.130674545
2661-31604,103,cz150,CZ,2014,11,250365,3764628,M,SY,22.6,61.37,19.44,8.38,6.55,5.45,8.6,81.05309046,0.993822693,-0.048485887,23.1,-0.623647597,1.591767728
2661-31605,104,cz34,CZ,2014,11,250162,3764746,M,ASY,22.3,60.11,19.85,8.85,5.91,4.97,9.61,82.11871869,0.370852584,1.742588487,23.1,-0.230503879,2.064737103
2661-31606,105,cz73,CZ,2014,11,245276,3766316,M,ASY,21.4,61.64,19.03,6.26,6.18,5.49,8.79,80.56559382,0.437919514,0.111364452,23.2,-0.956302215,0.00700511
2661-31607,106,cz74,CZ,2014,11,245250,3766357,M,ASY,20.2,62.74,18.98,8.15,6.45,5.63,8.6,81.5934444,0.184626715,1.43417346,23.2,-0.987470192,0.40103275
2661-31608,107,cz74,CZ,2014,11,245250,3766357,M,ASY,21,59.25,19.65,7.22,6.25,5.35,9.18,83.63547962,-0.651566781,4.449952586,23.2,-0.987470192,0.40103275
2661-31610,109,cz75,CZ,2014,11,245216,3766373,M,SY,19.8,61.57,18.43,7.93,6.01,5.25,8.38,74.10922822,-0.460058778,-5.299309099,23.2,-0.25109597,-0.277691581
2661-31613,112,cz74,CZ,2014,11,245250,3766357,M,ASY,20.6,60.49,18.69,8.11,6.23,5.61,9.37,87.13270057,-0.417588397,7.674706666,23.2,-0.987470192,0.40103275
2661-31614,113,cz76,CZ,2014,11,244875,3766362,M,ASY,21.3,59.05,19.95,6.68,6.39,5.3,9.74,89.42590612,-0.560899269,10.13479714,23.2,-0.978808344,-0.814174575
2661-31615,114,cz77,CZ,2014,11,244785,3766365,M,ASY,19.9,60.72,18.74,7.98,6.12,5.35,8.53,76.84264945,-0.715432417,-2.268506311,23.2,0.137583276,-0.17945785
2661-31616,115,cz78,CZ,2014,11,244983,3766366,M,ASY,22.8,60.45,19.2,6.9,6.5,5.66,9.58,91.49323117,0.767456255,10.65525761,23.2,3.00897441,0.334412003
2661-31619,118,cz171,CZ,2014,11,252415,3767331,M,ASY,20.6,61.58,19.23,6.24,6.07,5.63,9.21,84.63214989,-0.020184403,4.71138066,23.1,2.298741574,-0.383856534
2661-31620,119,cz172,CZ,2014,11,252437,3767539,M,ASY,20.5,63.45,19.4,8.49,6.36,5.78,9.1,86.7660767,0.607071873,6.114870102,23.1,1.598594887,0.23065463
2661-31621,120,cz173,CZ,2014,11,252307,3767258,M,ASY,21.5,61.31,18.75,8.05,6.2,5.44,8.96,81.91263021,0.372133101,1.53500885,23.1,0.065237795,0.996613178
2661-31622,121,cz174,CZ,2014,11,252346,3767442,M,SY,21.7,61.38,20.16,6.81,6.19,5.36,9,81.64213909,0.506711576,1.107801648,23.1,1.419954511,-0.069979663
2661-31623,122,cz68,CZ,2014,11,246269,3766052,M,ASY,22,63.44,19.28,7.24,6.53,5.09,8.79,80.22041133,1.421354341,-1.379023872,23,2.133422488,0.628354981
2661-31624,123,cz69,CZ,2014,11,246236,3766236,M,ASY,22.3,63.39,19.61,6.97,6.28,5.99,9.02,86.92425589,1.566710475,5.155554064,23,2.398226819,-0.058256742
2661-31627,126,cz167,CZ,2014,11,252269,3767522,M,SY,21.4,63.55,18.51,4.66,6.31,5.28,9.15,83.29029713,1.13428798,2.025149531,23.1,1.068052152,-0.509099971
2661-31628,127,cz168,CZ,2014,11,252260,3767504,M,SY,21.6,60.13,19.63,5.16,6.4,5.08,9.15,82.49979388,-0.003555508,2.55966037,23.1,1.068052152,-0.509099971
2661-31629,128,cz169,CZ,2014,11,252291,3767446,M,ASY,20.8,58.92,18.88,5.16,6.44,5.4,9.03,83.97100172,-0.880938868,5.052577544,23.1,1.26825761,0.146141472
2661-31630,129,cz90,CZ,2014,11,252300,3767315,M,ASY,21.6,62.66,20.06,6.61,6.67,5.34,9.27,87.44049811,0.918859267,6.426216366,23.1,1.622575108,0.912264631
2661-31631,130,cz88,CZ,2014,11,252189,3767148,M,ASY,21.6,62.6,17.99,5.73,6.24,5.31,8.8,79.82786933,0.896983818,-1.160938543,23.1,1.594748296,-0.062059997
2661-31632,131,cz89,CZ,2014,11,252138,3767138,M,ASY,21.5,61.64,19.65,7.33,6.66,5.55,8.96,85.92381571,0.492448072,5.406088059,23.1,0.703353127,0.0742763
2661-31634,132,cz128,CZ,2014,11,248835,3764219,M,SY,20.8,62.84,18.76,7.17,5.95,5.22,9.29,81.50021764,0.548257147,0.917500549,23.4,-0.509125919,1.703337852
2661-31637,135,cz21,CZ,2014,11,248935,3764252,M,SY,20.7,59.05,20.22,8,6.14,4.96,8.94,77.93820135,-0.88807062,-0.97191793,23.4,-0.509125919,1.703337852
2661-31638,136,cz81,CZ,2014,11,249279,3765537,M,ASY,19.9,60.52,18.46,7.38,5.82,4.72,9.26,76.65517491,-0.788350581,-2.371067947,23.2,2.088059899,0.704542147
2661-31640,138,cz83,CZ,2014,11,249444,3765674,M,ASY,21.1,60,18.57,8.14,6.3,5.27,8.77,79.6934877,-0.323595107,0.126038994,23.2,1.769030178,0.644068768
2661-31641,139,cz84,CZ,2014,11,249580,3765689,M,SY,20,60.51,19.95,7.28,6.27,5.05,9.11,80.99434268,-0.737467931,1.908847185,23.2,1.769030178,0.644068768
2661-31642,140,cz85,CZ,2014,11,249814,3765745,M,SY,19.5,59.07,18.2,8.44,6.23,4.82,8.82,76.5456904,-1.535121504,-1.610940771,23.2,2.792885263,1.019441189
2661-31643,141,cz191,CZ,2014,11,245385,3766685,M,ASY,22.4,61.1,20,8.03,6.52,5.38,9.03,84.39653044,0.786326055,3.53658308,23.2,1.465317101,-0.146166828
2661-31646,144,cz105,CZ,2014,11,239487,3767785,M,ASY,19.9,59.46,18.4,5.93,6.17,5.11,8.51,75.39256882,-1.174816851,-3.183635647,22.9,0.186406803,0.939639906
2661-31647,145,cz91,CZ,2014,11,239221,3767873,M,ASY,21.5,60.33,19.95,4.2,6.17,4.91,9.79,85.19465206,0.014834097,5.233103929,22.9,2.031935485,0.687186588
2661-31648,146,cz92,CZ,2014,11,237759,3768023,M,ASY,23.8,62.65,18.99,7.23,6.65,5.39,9.51,89.92840387,2.114841644,7.52140554,22.9,0.894042142,-0.133587209
2661-31649,147,cz93,CZ,2014,11,234757,3768437,M,ASY,21.4,62.86,19.06,5.4,6.03,5.16,9.25,81.2946004,0.882720314,0.322402319,22.7,2.587005342,0.265046549
2661-31651,150,cz188,CZ,2014,11,234906,3768425,M,ASY,21.3,62.41,20.57,6.52,6.5,5.77,9.35,90.1044116,0.664125887,9.386765836,22.7,-0.987470192,0.40103275
2661-31652,151,cz95,CZ,2014,11,234677,3768496,M,ASY,21,63.84,19.92,5.88,6.35,5.66,8.52,80.36602415,1.021905085,-0.768254027,22.7,2.130121181,0.381927016
2661-31653,152,cz93,CZ,2014,11,234757,3768437,M,SY,17.7,56.15,19,6.35,5.59,4.91,8.84,72.90065753,-3.581240751,-2.873276146,22.7,2.587005342,0.265046549
2661-31655,154,cz189,CZ,2014,11,234841,3768509,M,ASY,21,59.69,19.45,6.51,5.89,5.13,9.28,80.31921442,-0.49114682,0.946878998,22.7,-0.263557353,0.554373908
2661-31656,155,cz189,CZ,2014,11,234841,3768509,M,ASY,19.2,58.03,18.92,6.86,6.06,5.55,9.7,88.44918497,-2.077881633,10.92459575,22.7,-0.263557353,0.554373908
2661-31657,156,cz200,CZ,2014,11,235401,3768278,M,ASY,21.4,64.87,18.61,7.61,5.95,5.33,8.24,73.00056017,1.615547863,-8.825012595,22.8,-0.923338301,0.610926493
2661-31658,157,cz201,CZ,2014,11,235486,3768232,M,ASY,22,61.59,18.1,5.9,6.08,5.26,9.6,85.50158566,0.746861323,4.687594819,22.8,-0.23852878,0.864775507
2661-31659,158,cz202,CZ,2014,11,235450,3768324,M,SY,21.3,62.82,19.62,6.62,6.05,4.92,9.11,78.49010064,0.813608123,-2.401616577,22.8,-0.023039958,-0.246185332
2661-31660,159,cz203,CZ,2014,11,235329,3768390,M,ASY,22,61.51,19.14,5.94,6.33,5.43,9.62,88.8530367,0.717694057,8.07301102,22.8,-0.799204055,1.359258085
2661-31661,160,cz204,CZ,2014,11,235301,3768437,M,ASY,21.8,59.77,19.53,6.67,6.17,5.57,9.59,88.42530886,-0.025751087,8.51102201,22.8,-0.249521048,0.741220728
2661-31662,161,cz205,CZ,2014,11,235369,3768229,M,ASY,21.4,61.89,19.7,7.51,5.89,5.22,8.69,75.82697254,0.529067219,-4.733397957,22.8,1.995859836,0.593587773
2661-31663,162,cz206,CZ,2014,11,235468,3768394,M,ASY,23.6,60.32,18.55,6.3,6.35,5.21,8.93,81.07728073,1.156287916,-0.213485704,22.8,0.700872882,-0.092844173
2661-31665,164,cz208,CZ,2014,11,235670,3768173,M,ASY,21.2,59.26,18.51,7.12,6.06,5.16,9.29,81.86503508,-0.538863756,2.548265835,22.8,-0.263557353,0.554373908
2661-31674,172,cz70,CZ,2014,11,247918,3765480,M,ASY,20.4,61.31,18.43,7.47,6.27,5.64,9.64,90.1734481,-0.227681041,10.49430786,23,-0.952719165,2.130674545
2661-31675,173,cz39,CZ,2014,11,247963,3765473,M,SY,21.7,59.93,18.5,5.72,6.03,5.37,9.43,84.43187336,-0.021945114,4.51315447,23,-0.283684237,1.153747846
2661-31676,174,cz36,CZ,2014,11,248064,3765351,M,ASY,19.8,60.56,18.83,6.92,5.82,4.88,8.8,73.95309107,-0.828295507,-5.026636085,23,1.824211424,1.929433604
2661-31677,175,cz36,CZ,2014,11,248064,3765351,M,ASY,21.6,60.59,19.58,6.96,6.67,5.68,9.32,90.4008994,0.164156269,10.26546621,23,1.824211424,1.929433604
2661-31678,176,cz37,CZ,2014,11,247918,3765473,M,ASY,20.5,64.19,19,7.84,5.67,4.67,9.79,79.50475652,0.87686908,-1.460627822,23,-1.17343108,2.187137242
2661-31680,177,cz38,CZ,2014,11,247975,3765330,M,ASY,22.1,61.7,17.91,7.25,6.09,5.28,8.72,77.86940047,0.841494872,-3.054790752,23,-0.286218063,1.394025987
2661-31681,179,cz194,CZ,2014,11,244187,3766639,M,ASY,19.4,60.96,18.72,5.54,6.09,4.97,8.75,76.00690726,-0.900573412,-2.888652569,23.4,-0.028809133,0.684758032
2661-31682,180,cz195,CZ,2014,11,244185,3766599,M,SY,21.6,57.76,19.29,6.31,6.13,5.07,9.23,81.19132054,-0.867635752,2.25740494,23.4,-0.028809133,0.684758032
2661-31683,181,cz196,CZ,2014,11,244364,3766597,M,SY,18.8,61.24,19.36,6.92,5.96,5.01,8.8,75.8191971,-1.125659333,-2.814251095,23.4,-0.545509796,0.603944434
2661-31684,182,cz80,CZ,2014,11,244541,3766539,M,SY,20.5,63.2,19.48,7.01,6.56,5.3,9.5,88.49081107,0.515924168,7.945745602,23.3,-0.070518301,-0.434209462
2661-31685,183,cz197,CZ,2014,11,244359,3766591,M,ASY,21.6,62.5,20.11,6.98,6.51,5.82,9.33,90.35134078,0.860524736,9.404989359,23.4,-0.909332391,-0.586790545
2661-31686,184,cz71,CZ,2014,11,248671,3765051,M,ASY,23.5,62.77,18.82,6.66,6.47,5.36,8.61,79.99775095,1.995006867,-2.269700273,23,-0.6682669,0.271882449
2661-31687,185,cz72,CZ,2014,11,248811,3765044,M,ASY,21,62.27,19.5,6.17,6.06,5.28,8.62,76.77329879,0.449497497,-3.694413092,23,-0.617220278,1.317919019
2661-31688,187,cz48,CZ,2014,11,248682,3764943,M,ASY,21.2,62.57,19.62,6.58,6.23,5.53,8.83,81.55637361,0.66793186,0.834295806,23,-0.863730623,1.248067041
2661-31689,188,cz49,CZ,2014,11,248744,3764937,M,ASY,19.5,59.45,18.73,6.5,6.27,5.05,9,80.01636489,-1.396576993,1.698399201,23,-0.663525165,1.903308483
1781-33102,189,cz50,CZ,2014,11,248581,3765046,M,ASY,21.2,56.38,19.93,6.12,6.5,5.57,8.64,81.90509039,-1.588885318,3.81106696,23,-1.102269543,0.50924653
2661-31691,191,cz52,CZ,2014,11,248730,3764942,M,ASY,20.9,63.22,20.37,6.93,6.24,5.05,8.75,77.58752107,0.741330218,-3.220028822,23,-0.663525165,1.903308483
2661-31692,192,cz163,CZ,2014,11,250066,3765920,M,SY,19.8,62.6,19.79,7.39,6.05,5.05,9.45,82.38434035,-0.084530233,2.538501576,23,2.095345081,0.919187565
2661-31693,193,cz162,CZ,2014,11,250208,3766043,M,SY,19.5,61.86,18.59,7.77,6.36,5.33,8.02,73.63406233,-0.517913116,-5.70710385,23,1.995859836,0.593587773
2661-31694,194,cz161,CZ,2014,11,249989,3765875,M,ASY,21.7,63.04,21.4,6.78,6.3,5.36,8.58,78.57343138,1.111932337,-2.665683164,23,0.893365646,0.982426819
2661-31695,195,cz160,CZ,2014,11,250353,3766080,M,SY,22.2,63.65,20.23,6,5.96,4.84,9.12,77.3585775,1.60697553,-4.457012817,23,1.843465189,1.3696779
2661-31697,197,cz175,CZ,2014,11,251877,3766762,M,SY,21.8,61.75,19.41,5.42,6.39,5.59,9.07,85.34026488,0.696138737,4.585340282,23.1,1.570363452,1.453985557
2661-31699,199,cz87,CZ,2014,11,251913,3766765,M,ASY,20.8,63.81,19.36,8.22,6.07,5.43,9.34,84.35961673,0.901910243,3.365072055,23.1,0.420634954,0.938564318
2661-31901,201,cz164,CZ,2014,11,252079,3767046,M,ASY,22.1,63.1,20.72,5.51,6.48,5.42,9.23,86.26577807,1.35192202,4.747196521,23.1,1.470878207,1.128385765
2661-31902,202,cz165,CZ,2014,11,252073,3766947,M,ASY,18.7,61.12,20.11,6.61,6.42,4.85,9.04,80.01699321,-1.22393879,1.497991041,23.1,1.031429601,1.240805854
2661-31903,203,cz166,CZ,2014,11,251938,3766821,M,ASY,19.6,64.59,19.82,8.47,5.92,4.96,8.9,76.05167496,0.531948382,-4.512050641,23.1,1.673376014,0.849822111
2661-31906,206,cz55,CZ,2014,11,248613,3764899,M,SY,21.6,61.6,19.1,6.93,6.41,5.13,8.83,80.03065913,0.532392998,-0.533584223,23,-1.052204411,1.805074753
2661-31907,207,cz56,CZ,2014,11,248547,3765180,M,SY,19.1,59.12,17.89,8.63,6.01,4.79,8.81,74.72906445,-1.735006197,-3.194801814,23,-0.535282942,0.71323756
2661-31908,208,cz57,CZ,2014,11,248550,3764963,M,ASY,21,62.02,19.45,7.63,6.26,5.22,8.46,76.27849795,0.358349792,-4.083072802,23,0.634206702,-0.083714338
2661-31909,210,cz43,CZ,2014,11,248565,3765176,M,SY,20,60.24,18.41,6.25,5.94,5.65,8.78,79.92227419,-0.835907453,0.951411115,23,-0.363635192,-0.31092314
2661-31910,211,cz27,CZ,2014,11,248835,3764892,M,ASY,21.3,60.63,18.64,6.71,6.07,5.03,9.39,81.86126517,0.015154227,1.89934425,23,-0.329989124,1.739137311
2661-31911,212,ro71,RO,2014,10,772022,3766430,M,ASY,23.6,62.17,20.27,7.08,6.09,5.36,9.83,88.39931218,1.830780933,6.323101385,22.4,0.893911934,-1.081427544
2661-31912,213,ro71,RO,2014,10,772022,3766430,M,ASY,20,58.92,20.17,7.36,5.94,4.58,8.88,73.37001147,-1.317167335,-5.04042644,22.4,0.893911934,-1.081427544
2661-31913,214,ro72,RO,2014,10,772174,3766403,M,ASY,20.6,60.44,19.11,7.04,5.95,4.74,9.2,77.24233857,-0.435817938,-2.194427108,22.4,0.454463329,-0.969007455
