alum,ss_id,sex,age,island,mass,tarsus,bill_d,bill_w,bill_l,bill_sa,wing,bite1,bite1_time,bite2,bite2_time,bite3,bite3_time,bite_max,time_max,bite_max_num
2661-31744,44,U,SY,CZ,22.7,19.87,5.97,5.09,8.6,74.70393171,61.95,5,935,5.4,941,4.9,946,5.4,941,2
2661-31745,45,U,SY,CZ,24.8,20.24,5.72,4.55,8.27,66.70614367,62.73,6.8,957,5.3,1000,6,1003,6.8,957,1
2661-31746,46,U,SY,CZ,25.2,20.4,6.29,4.94,9.19,81.05599644,61.67,6.9,1011,5.5,1015,6,1020,6.9,1011,1
2661-31747,47,U,ASY,CZ,20.8,18.42,5.98,4.85,8.43,71.70441758,57.94,4.8,1036,5,1039,5.3,1044,5.3,1044,3
2661-31748,48,U,ASY,CZ,24.3,20.66,6.36,5.15,9.19,83.07698299,63.68,4.3,1120,6.6,1123,4.8,1126,6.6,1123,2
2661-31749,49,U,SY,CZ,15.3,19.84,6.2,5.47,8.86,81.20718558,61.67,3.4,644,4,648,4,652,4,652,1
2661-31750,50,U,SY,CZ,20.47,18.66,6.43,5.03,8.83,79.47585387,61.49,4.5,658,5.4,701,5.6,704,5.6,704,2
2661-31751,51,U,ASY,CZ,18.6,19.52,6.12,5.06,8.69,76.30473025,59.7,4.9,715,5.8,715,5.4,718,5.8,715,1
2661-31752,52,U,ASY,CZ,20.1,20.62,6.04,4.75,9.5,80.50723874,59.4,5.6,715,4.1,721,5.4,724,5.6,715,3
2661-31754,53,U,ASY,CZ,21.9,19.86,6.44,5.21,8.55,78.23154756,59.61,3.5,835,6,838,4.9,842,6,838,1
2661-31755,54,U,ASY,CZ,20.9,18.35,6.01,4.76,8.47,71.64551272,56.86,4.8,858,5.6,901,5.4,907,5.6,901,1
2661-31757,56,U,ASY,CZ,21,19.92,5.92,5.02,9.18,78.87690923,60.45,4.9,744,8.9,748,5.9,751,8.9,748,1
2661-31758,57,U,ASY,CZ,21.7,18.65,6.12,4.96,8.95,77.88479427,58.7,5.9,807,7,813,7.1,816,7.1,816,2
2661-31759,58,U,ASY,CZ,18.9,19.7,5.95,4.68,8.93,74.55462752,56,5.5,906,7.1,913,5.9,916,7.1,913,1
