Elevation [m a.s.l.],Current.SRic.ABS,Current.SRic.STD,Current.FRic.ABS,Current.FRic.STD,CCSM4.Contraction.SRic.ABS,CCSM4.Contraction.SRic.STD,CCSM4.Contraction.FRic.ABS,CCSM4.Contraction.FRic.STD,CCSM4.Expansion.SRic.ABS,CCSM4.Expansion.SRic.STD,CCSM4.Expansion.FRic.ABS,CCSM4.Expansion.FRic.STD,CCSM4.Shift.SRic.ABS,CCSM4.Shift.SRic.STD,CCSM4.Shift.FRic.ABS,CCSM4.Shift.FRic.STD,HadGEM2-ES.Contraction.SRic.ABS,HadGEM2-ES.Contraction.SRic.STD,HadGEM2-ES.Contraction.FRic.ABS,HadGEM2-ES.Contraction.FRic.STD,HadGEM2-ES.Expansion.SRic.ABS,HadGEM2-ES.Expansion.SRic.STD,HadGEM2-ES.Expansion.FRic.ABS,HadGEM2-ES.Expansion.FRic.STD,HadGEM2-ES.Shift.SRic.ABS,HadGEM2-ES.Shift.SRic.STD,HadGEM2-ES.Shift.FRic.ABS,HadGEM2-ES.Shift.FRic.STD,MIROC5.Contraction.SRic.ABS,MIROC5.Contraction.SRic.STD,MIROC5.Contraction.FRic.ABS,MIROC5.Contraction.FRic.STD,MIROC5.Expansion.SRic.ABS,MIROC5.Expansion.SRic.STD,MIROC5.Expansion.FRic.ABS,MIROC5.Expansion.FRic.STD,MIROC5.Shift.SRic.ABS,MIROC5.Shift.SRic.STD,MIROC5.Shift.FRic.ABS,MIROC5.Shift.FRic.STD,MRI-CGCM.Contraction.SRic.ABS,MRI-CGCM.Contraction.SRic.STD,MRI-CGCM.Contraction.FRic.ABS,MRI-CGCM.Contraction.FRic.STD,MRI-CGCM.Expansion.SRic.ABS,MRI-CGCM.Expansion.SRic.STD,MRI-CGCM.Expansion.FRic.ABS,MRI-CGCM.Expansion.FRic.STD,MRI-CGCM.Shift.SRic.ABS,MRI-CGCM.Shift.SRic.STD,MRI-CGCM.Shift.FRic.ABS,MRI-CGCM.Shift.FRic.STD,NorESM.Contraction.SRic.ABS,NorESM.Contraction.SRic.STD,NorESM.Contraction.FRic.ABS,NorESM.Contraction.FRic.STD,NorESM.Expansion.SRic.ABS,NorESM.Expansion.SRic.STD,NorESM.Expansion.FRic.ABS,NorESM.Expansion.FRic.STD,NorESM.Shift.SRic.ABS,NorESM.Shift.SRic.STD,NorESM.Shift.FRic.ABS,NorESM.Shift.FRic.STD
500,126,0.580645161,21.13958198,0.800083046,0,0,0,0,133,0.612903226,21.2073383,0.802647462,0,0,0,0,0,0,0,0,133,0.612903226,21.20734,0.802647669,0,0,0,0,0,0,0,0,133,0.612903226,21.20734,0.802647669,0,0,0,0,0,0,0,0,133,0.612903226,21.20734,0.802647669,0,0,0,0,0,0,0,0,133,0.612903226,21.20734,0.802647669,0,0,0,0
1000,121,0.557603687,18.28385458,0.692000537,75,0.34562212,15.69205,0.593906985,167,0.769585253,22.28025471,0.843254804,118,0.543778802,20.47551,0.774949634,75,0.34562212,15.69205,0.593906985,167,0.769585253,22.28025,0.843254776,118,0.543778802,20.47551,0.774949634,15.69205,0.593906985,75,0.34562212,167,0.769585253,22.28025,0.843254776,118,0.543778802,20.47551,0.774949634,80,0.368663594,16.30666,0.61716852,121,0.557603687,18.28385,0.692000486,80,0.368663594,16.30666,0.61716852,75,0.34562212,15.69205,0.593906985,167,0.769585253,22.28025,0.843254776,118,0.543778802,20.47551,0.774949634
1500,89,0.410138249,14.21865718,0.538142456,30,0.138248848,5.903628,0.223438359,143,0.658986175,21.03600081,0.796162745,80,0.368663594,16.30666,0.61716852,30,0.138248848,5.903628,0.223438359,143,0.658986175,21.036,0.796162855,80,0.368663594,16.30666,0.61716852,5.903628,0.223438359,30,0.138248848,143,0.658986175,21.036,0.796162855,80,0.368663594,16.30666,0.61716852,66,0.304147465,11.20402,0.424045662,89,0.410138249,14.21866,0.538142658,66,0.304147465,11.20402,0.424045662,30,0.138248848,5.903628,0.223438359,143,0.658986175,21.036,0.796162855,80,0.368663594,16.30666,0.61716852
2000,65,0.299539171,10.21897841,0.386764099,34,0.156682028,2.535465,0.095961355,98,0.451612903,16.18589545,0.612597759,67,0.30875576,11.36406,0.430102798,34,0.156682028,2.535465,0.095961355,98,0.451612903,16.1859,0.61259804,67,0.30875576,11.36406,0.430102798,2.535465,0.095961355,34,0.156682028,98,0.451612903,16.1859,0.61259804,67,0.30875576,11.36406,0.430102798,34,0.156682028,2.535465,0.095961355,65,0.299539171,10.21898,0.386764228,35,0.161290323,2.921437,0.110569482,34,0.156682028,2.535465,0.095961355,98,0.451612903,16.1859,0.61259804,67,0.30875576,11.36406,0.430102798
2500,53,0.244239631,9.32235795,0.352829141,37,0.170506912,6.06407,0.22951071,72,0.331797235,10.22256041,0.386899669,56,0.258064516,7.246544,0.274264554,37,0.170506912,6.06407,0.22951071,72,0.331797235,10.22256,0.386899722,56,0.258064516,7.246544,0.274264554,6.06407,0.22951071,37,0.170506912,72,0.331797235,10.22256,0.386899722,56,0.258064516,7.246544,0.274264554,37,0.170506912,6.06407,0.22951071,56,0.258064516,9.535327,0.360889578,40,0.184331797,6.319934,0.239194557,37,0.170506912,6.06407,0.22951071,72,0.331797235,10.22256,0.386899722,56,0.258064516,7.246544,0.274264554
3000,41,0.188940092,8.542610352,0.323317543,29,0.133640553,7.905966,0.299222118,58,0.267281106,9.860402638,0.373192856,46,0.211981567,9.314173,0.352519422,29,0.133640553,7.905966,0.299222118,58,0.267281106,9.860403,0.373192936,46,0.211981567,9.314173,0.352519422,7.905966,0.299222118,29,0.133640553,58,0.267281106,9.860403,0.373192936,46,0.211981567,9.314173,0.352519422,29,0.133640553,7.905966,0.299222118,49,0.225806452,9.54768,0.36135711,37,0.170506912,9.000818,0.340659677,29,0.133640553,7.905966,0.299222118,58,0.267281106,9.860403,0.373192936,46,0.211981567,9.314173,0.352519422
3500,19,0.087557604,3.201198144,0.121157758,14,0.064516129,2.620884,0.099194262,41,0.188940092,8.542610352,0.323317543,36,0.165898618,7.91712,0.29964427,14,0.064516129,2.620884,0.099194262,41,0.188940092,8.54261,0.323317587,36,0.165898618,7.91712,0.29964427,2.620884,0.099194262,14,0.064516129,41,0.188940092,8.54261,0.323317587,36,0.165898618,7.91712,0.29964427,14,0.064516129,2.620884,0.099194262,35,0.161290323,5.978963,0.226289611,30,0.138248848,5.579414,0.211167626,14,0.064516129,2.620884,0.099194262,41,0.188940092,8.54261,0.323317587,36,0.165898618,7.91712,0.29964427
Full species pool,217,1,26.42173468,1,217,1,26.42173,1,217,1,26.42173468,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,26.42173,1,217,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1,217,1,26.42173,1
